Line Number	Verse Reference	Unaccented Words	Suggested Fix	Total Count	Reason	Context Before	Context After	Full Line
617	ΓΕΝΕΣΙΣ 19:5	εἰσιν οἱ	εἰσιν οἱ	80	consecutive enclitics	ποῦ	ἄνδρες	\vs{5}Καὶ ἐξεκαλοῦντο τὸν Λὼτ, καὶ ἔλεγον πρὸς αὐτὸν, ποῦ εἰσιν οἱ ἄνδρες οἱ εἰσελθόντες πρὸς σὲ τὴν νύκτα; ἐξάγαγε αὐτοὺς πρὸς ἡμᾶς, ἵνα συγγενώμεθα αὐτοῖς.
660	ΓΕΝΕΣΙΣ 20:6	σε εἰς	σε εἰς	1148	consecutive enclitics	ἁμαρτεῖν	ἐμέ	\vs{6}Εἶπε δὲ αὐτῷ ὁ Θεὸς καθʼ ὕπνον, κᾀγὼ ἔγνων ὅτι ἐν καθαρᾷ καρδίᾳ ἐποίησας τοῦτο, καὶ ἐφεισάμην σου τοῦ μὴ ἁμαρτεῖν σε εἰς ἐμέ· ἕνεκα τούτου οὐκ ἀφῆκά σε ἅψασθαι αὐτῆς.
666	ΓΕΝΕΣΙΣ 20:12	οὐκ ἐκ	οὐκ ἐκ	3183	consecutive enclitics	ἀλλ	μητρός	\vs{12}Καὶ γὰρ ἀληθῶς, ἀδελφή μου ἐστὶν ἐκ πατρὸς, ἀλλʼ οὐκ ἐκ μητρός· ἐγενήθη δέ μοι εἰς γυναῖκα.
666	ΓΕΝΕΣΙΣ 20:12	μοι εἰς	μοι εἰς	882	consecutive enclitics	δέ	γυναῖκα	\vs{12}Καὶ γὰρ ἀληθῶς, ἀδελφή μου ἐστὶν ἐκ πατρὸς, ἀλλʼ οὐκ ἐκ μητρός· ἐγενήθη δέ μοι εἰς γυναῖκα.
667	ΓΕΝΕΣΙΣ 20:13	με ὁ	με ὁ	1285	consecutive enclitics	ἐξήγαγέ	Θεὸς	\vs{13}Ἐγένετο δὲ ἡνίκα ἐξήγαγέ με ὁ Θεὸς ἐκ τοῦ οἴκου τοῦ πατρός μου, καὶ εἶπα αὐτῇ, ταύτην τὴν δικαιοσύνην ποιήσεις εἰς ἐμὲ, εἰς πάντα τόπον οὗ ἐὰν εἰσέλθωμεν ἐκεῖ, εἶπον ἐμὲ, ὅτι ἀδελφός μου ἐστίν.
670	ΓΕΝΕΣΙΣ 20:16	σοι εἰς	σοι εἰς	1034	consecutive enclitics	ἔσται	τιμὴν	\vs{16}Τῇ δὲ Σάῤῥᾳ εἶπεν, ἰδοὺ δέδωκα χίλια δίδραγμα τῷ ἀδελφῷ σου· ταῦτα ἔσται σοι εἰς τιμὴν τοῦ προσώπου σου, καὶ πάσαις ταῖς μετὰ σοῦ· καὶ πάντα ἀλήθευσον.
704	ΓΕΝΕΣΙΣ 21:29	εἰσιν αἱ	εἰσιν αἱ	80	consecutive enclitics	τί	ἑπτὰ	\vs{29}Καὶ εἶπεν Ἀβιμέλεχ τῷ Ἁβραὰμ, τί εἰσιν αἱ ἑπτὰ ἀμνάδες τῶν προβάτων τούτων, ἃς ἔστησας μόνας;
705	ΓΕΝΕΣΙΣ 21:30	μοι εἰς	μοι εἰς	882	consecutive enclitics	ὦσι	μαρτύριον	\vs{30}Καὶ εἶπεν Ἁβραὰμ, ὅτι τὰς ἑπτὰ ἀμνάδας λήψῃ παρʼ ἐμοῦ, ἵνα ὦσι μοι εἰς μαρτύριον, ὅτι ἐγὼ ὤρυξα τό φρέαρ τοῦτο.
741	ΓΕΝΕΣΙΣ 23:2	ἐστιν ἐν	ἐστιν ἐν	474	consecutive enclitics	ἥ	τῷ	\vs{2}Καὶ ἀπέθανε Σάῤῥα ἐν πόλει Ἀρβὸκ, ἥ ἐστιν ἐν τῷ κοιλώματι· αὕτη ἔστι Χεβρὼν ἐν τῇ γῇ Χαναάν ἦλθε δὲ Ἁβραὰμ κόψασθαι Σάῤῥαν, καὶ πενθῆσαι.
743	ΓΕΝΕΣΙΣ 23:4	εἰμι μεθ	εἰμι μεθ	263	consecutive enclitics	ἐγώ		\vs{4}Πάροικος καὶ παρεπίδημος ἐγώ εἰμι μεθʼ ὑμῶν· δότε μοι οὖν κτῆσιν τάφου μεθʼ ὑμῶν, καὶ θάψω τὸν νεκρόν μου ἀπʼ ἐμοῦ.
743	ΓΕΝΕΣΙΣ 23:4	μου ἀπ	μου ἀπ	4317	consecutive enclitics	νεκρόν		\vs{4}Πάροικος καὶ παρεπίδημος ἐγώ εἰμι μεθʼ ὑμῶν· δότε μοι οὖν κτῆσιν τάφου μεθʼ ὑμῶν, καὶ θάψω τὸν νεκρόν μου ἀπʼ ἐμοῦ.
756	ΓΕΝΕΣΙΣ 23:17	ἐστιν ἐν	ἐστιν ἐν	474	consecutive enclitics	ὅ	τοῖς	\vs{17}Καὶ ἔστη ὁ ἀγρὸς Ἐφρών, ὃς ἦν ἐν τῷ διπλῷ σπηλαίῳ, ὅς ἐστι κατὰ πρόσωπον Μαμβρῆ, ὁ ἀγρὸς καὶ τὸ σπήλαιον, ὃ ἦν ἐν αὐτῷ, καὶ πᾶν δένδρον, ὃ ἦν ἐν τῷ ἀγρῷ, καὶ πᾶν ὅ ἐστιν ἐν τοῖς ὁρίοις αὐτοῦ κύκλῳ,
766	ΓΕΝΕΣΙΣ 24:5	ποτε οὐ	ποτε οὐ	66	consecutive enclitics	μή	βούληται	\vs{5}Εἶπε δὲ πρὸς αὐτὸν ὁ παῖς, μή ποτε οὐ βούληται ἡ γυνὴ πορευθῆναι μετʼ ἐμοῦ ὀπίσω εἰς τὴν γῆν ταύτην, ἀποστρέψω τὸν υἱόν σου εἰς τὴν γῆν, ὅθεν ἐξῆλθες ἐκεῖθεν;
766	ΓΕΝΕΣΙΣ 24:5	σου εἰς	σου εἰς	5611	consecutive enclitics	υἱόν	τὴν	\vs{5}Εἶπε δὲ πρὸς αὐτὸν ὁ παῖς, μή ποτε οὐ βούληται ἡ γυνὴ πορευθῆναι μετʼ ἐμοῦ ὀπίσω εἰς τὴν γῆν ταύτην, ἀποστρέψω τὸν υἱόν σου εἰς τὴν γῆν, ὅθεν ἐξῆλθες ἐκεῖθεν;
768	ΓΕΝΕΣΙΣ 24:7	με ἐκ	με ἐκ	1285	consecutive enclitics	ἔλαβέ	τοῦ	\vs{7}Κύριος ὁ Θεὸς τοῦ οὐρανοῦ καὶ ὁ Θεὸς τῆς γῆς, ὃς ἔλαβέ με ἐκ τοῦ οἴκου τοῦ πατρός μου, καἰ ἐκ τῆς γῆς ἧς ἐγεννήθην, ὃς ἐλάλησέ μοι, καὶ ὃς ὤμοσέ μοι, λέγων, σοὶ δώσω τὴν γῆν ταύτην καὶ τῷ σπέρματί σου, αὐτὸς ἀποστελεῖ τὸν Ἄγγελον αὐτοῦ ἔμπροσθέν σου, καὶ λήψῃ γυναῖκα τῷ υἱῷ μου ἐκεῖθεν.
793	ΓΕΝΕΣΙΣ 24:30	μοι ὁ	μοι ὁ	882	consecutive enclitics	λελάληκέ	ἄνθρωπος	\vs{30}Καὶ ἐγένετο ἡνίκα εἶδε τὰ ἐνώτια, καὶ τὰ ψέλλια ἐν ταῖς χερσὶ τῆς ἀδελφῆς αὐτοῦ, καὶ ὅτε ἤκουσε τὰ ῥήματα Ῥεβέκκας τῆς ἀδελφῆς αὐτοῦ, λεγούσης, οὕτω λελάληκέ μοι ὁ ἄνθρωπος, καὶ ἦλθε πρὸς τὸν ἄνθρωπον, ἑστηκότος αὐτοῦ ἐπὶ τῶν καμήλων ἐπὶ τῆς πηγῆς.
801	ΓΕΝΕΣΙΣ 24:37	με ὁ	με ὁ	1285	consecutive enclitics	ὥρκισέ	κύριός	\vs{37}Καὶ ὥρκισέ με ὁ κύριός μου, λέγων, οὐ λήμψῃ γυναῖκα τῷ υἱῷ μου ἀπὸ τῶν θυγατέρων τῶν Χαναναίων, ἐν οἷς ἐγὼ παροικῶ ἐν τῇ γῇ αὐτῶν.
807	ΓΕΝΕΣΙΣ 24:43	με ἐκ	με ἐκ	1285	consecutive enclitics	πότισόν	τῆς	\vs{43}ἰδοὺ ἐγὼ ἐφέστηκα ἐπὶ τῆς πηγῆς τοῦ ὕδατος, καὶ αἱ θυγατέρες τῶν ἀνθρώπων τῆς πόλεως ἐκπορεύονται ἀντλῆσαι ὕδωρ· καὶ ἔσται ἡ παρθένος, ᾗ ἂν ἐγὼ εἴπω, πότισόν με ἐκ τῆς ὑδρίας σου μικρὸν ὕδωρ,
812	ΓΕΝΕΣΙΣ 24:48	με ἐν	με ἐν	1285	consecutive enclitics	εὐώδωσέ	ὁδῷ	\vs{48}Καὶ εὐδοκήσας προσεκύνησα τῷ Κυρίῳ, καὶ εὐλόγησα Κύριον τὸν Θεὸν τοῦ κυρίου μου Ἁβραὰμ, ὃς εὐώδωσέ με ἐν ὁδῷ ἀληθείας λαβεῖν τὴν θυγατέρα τοῦ ἀδελφοῦ τοῦ κυρίου μου τῷ υἱῷ αὐτοῦ.
819	ΓΕΝΕΣΙΣ 24:54	οἱ μετ	οἱ μετ	4140	consecutive enclitics	ἄνδρες		\vs{54}Καὶ ἔφαγον καὶ ἔπιον καὶ αὐτὸς καὶ οἱ ἄνδρες οἱ μετʼ αὐτοῦ ὄντες, καὶ ἐκοιμήθησαν· καὶ ἀναστὰς τὸ πρωῒ εἶπεν, ἐκπέμψατέ με, ἵνα ἀπέλθω πρὸς τὸν κύριόν μου.
831	ΓΕΝΕΣΙΣ 24:65	ἐστιν ὁ	ἐστιν ὁ	474	consecutive enclitics	τίς	ἄνθρωπος	\vs{65}Καὶ εἶπε τῷ παιδὶ, τίς ἐστιν ὁ ἄνθρωπος ἐκεῖνος ὁ πορευόμενος ἐν τῷ πεδίῳ εἰς συνάντησιν ἡμῖν; εἶπε δὲ ὁ παῖς, οὗτός ἐστιν ὁ κύριός μου· ἡ δὲ λαβοῦσα τὸ θέριστρον, περιεβάλετο.
831	ΓΕΝΕΣΙΣ 24:65	ἐστιν ὁ	ἐστιν ὁ	474	consecutive enclitics	οὗτός	κύριός	\vs{65}Καὶ εἶπε τῷ παιδὶ, τίς ἐστιν ὁ ἄνθρωπος ἐκεῖνος ὁ πορευόμενος ἐν τῷ πεδίῳ εἰς συνάντησιν ἡμῖν; εἶπε δὲ ὁ παῖς, οὗτός ἐστιν ὁ κύριός μου· ἡ δὲ λαβοῦσα τὸ θέριστρον, περιεβάλετο.
851	ΓΕΝΕΣΙΣ 25:16	εἰσιν οἱ	εἰσιν οἱ	80	consecutive enclitics	οὗτοί	υἱοὶ	\vs{16}οὗτοί εἰσιν οἱ υἱοὶ Ἰσμαὴλ, καὶ ταῦτα τὰ ὀνόματα αὐτῶν ἐν ταῖς σκηναῖς αὐτῶν, καὶ ἐν ταῖς ἐπαύλεσιν αὐτῶν· δώδεκα ἄρχοντες κατὰ ἔθνη αὐτῶν.
883	ΓΕΝΕΣΙΣ 26:10	τις ἐκ	τις ἐκ	116	consecutive enclitics	ἐκοιμήθη	τοῦ	\vs{10}Εἶπε δὲ αὐτῷ Ἀβιμέλεχ, τί τοῦτο ἐποίησας ἡμῖν; μικροῦ ἐκοιμήθη τις ἐκ τοῦ γένους μου μετὰ τῆς γυναικός σου, καὶ ἐπήγαγες ἂν ἐφʼ ἡμᾶς ἄγνοιαν.
904	ΓΕΝΕΣΙΣ 26:29	σε μετ	σε μετ	1148	consecutive enclitics	ἐξαπεστείλαμέν		\vs{29}Μὴ ποιήσαι μεθʼ ἡμῶν κακὸν, καθότι οὐκ ἐβδελυξάμεθά σε ἡμεῖς, καὶ ὃν τρόπον ἐχρησάμεθά σοι καλῶς, καὶ ἐξαπεστείλαμέν σε μετʼ εἰρήνης· καὶ νῦν εὐλογημένος σὺ ὑπὸ Κυρίου.
917	ΓΕΝΕΣΙΣ 27:4	σε ἡ	σε ἡ	1148	consecutive enclitics	εὐλογήσῃ	ψυχή	\vs{4}Καὶ ποίησόν μοι ἐδέσματα, ὡς φιλῶ ἐγὼ, καὶ ἔνεγκέ μοι, ἵνα φάγω, ὅπως εὐλογήσῃ σε ἡ ψυχή μου πρὶν ἀποθανεῖν με.
923	ΓΕΝΕΣΙΣ 27:10	σε ὁ	σε ὁ	1148	consecutive enclitics	εὐλογήσῃ	πατήρ	\vs{10}Καὶ εἰσοίσεις τῷ πατρί σου, καὶ φάγεται, ὅπως εὐλογήσῃ σε ὁ πατήρ σου πρὸ τοῦ ἀποθανεῖν αὐτόν.
925	ΓΕΝΕΣΙΣ 27:12	με ὁ	με ὁ	1285	consecutive enclitics	ψηλαφήσῃ	πατὴρ	\vs{12}Μή ποτε ψηλαφήσῃ με ὁ πατὴρ, καὶ ἔσομαι ἐναντίον αὐτοῦ ὡς καταφρονῶν, καὶ ἐπάξω ἐπʼ ἐμαυτὸν κατάραν, καὶ οὐκ εὐλογίαν.
933	ΓΕΝΕΣΙΣ 27:19	με ἡ	με ἡ	1285	consecutive enclitics	εὐλογήσῃ	ψυχή	\vs{19}Καὶ εἶπεν Ἰακὼβ τῷ πατρὶ, ἐγὼ Ἡσαῦ ὁ πρωτότοκός σου πεποίηκα καθὰ ἐλάλησάς μοι· ἀναστὰς κάθισον, καὶ φάγε ἀπὸ τῆς θήρας μου, ὅπως εὐλογήσῃ με ἡ ψυχή σου.
937	ΓΕΝΕΣΙΣ 27:23	ὡς αἱ	ὡς αἱ	1776	consecutive enclitics	αὐτοῦ	χεῖρες	\vs{23}Καὶ οὐκ ἐπέγνω αὐτὸν, ἦσαν γὰρ αἱ χεῖρες αὐτοῦ, ὡς αἱ χεῖρες Ἡσαῦ τοῦ ἀδελφοῦ αὐτοῦ, δασεῖαι· καὶ εὐλόγησεν αὐτὸν,
939	ΓΕΝΕΣΙΣ 27:25	σε ἡ	σε ἡ	1148	consecutive enclitics	εὐλογήσῃ	ψυχή	\vs{25}Καὶ εἶπε, προσάγαγέ μοι, καὶ φάγομαι ἀπὸ τῆς θήρας σου, τέκνον, ἵνα εὐλογήσῃ σε ἡ ψυχή μου· καὶ προσήνεγκεν αὐτῷ, καὶ ἔφαγε· καὶ εἰσήνεγκεν αὐτῷ οἶνον, καὶ ἔπιε.
942	ΓΕΝΕΣΙΣ 27:28	σοι ὁ	σοι ὁ	1034	consecutive enclitics	δῴη	Θεὸς	\vs{28}Καὶ δῴη σοι ὁ Θεὸς ἀπὸ τῆς δρόσου τοῦ οὐρανοῦ, καὶ ἀπὸ τῆς πιότητος τῆς γῆς, καὶ πλῆθος σίτου καὶ οἴνου.
943	ΓΕΝΕΣΙΣ 27:29	σοι οἱ	σοι οἱ	1034	consecutive enclitics	προσκυνήσουσί	υἱοὶ	\vs{29}Καὶ δουλευσάτωσάν σοι ἔθνη, καὶ προσκυνησάτωσάν σοι ἄρχοντες· καὶ γίνου κύριος τοῦ ἀδελφοῦ σου, καὶ προσκυνήσουσί σοι οἱ υἱοὶ τοῦ πατρός σου· ὁ καταρώμενός σε, ἐπικατάρατος· ὁ δὲ εὐλογῶν σε, εὐλογημένος.
