Line Number	Verse Reference	Word	Following Word	Following Word Has Accent	Accent Count	Accent Positions	Full Line
1999	ΕΞΟΔΟΣ 7:19	εἶπὸν	Ἀαρὼν	Yes	2	pos 1: CIRCUMFLEX on ι; pos 3: GRAVE on ο	\vs{19}Εἶπε δὲ Κύριος πρὸς Μωυσῆν, εἶπὸν Ἀαρὼν τῷ ἀδελφῷ σου, λάβε τὴν ῥάβδον σου ἐν τῇ χειρί σου, καὶ ἔκτεινον τὴν χεῖρά σου ἐπὶ τὰ ὕδατα Αἰγύπτου, καὶ ἐπὶ τοὺς ποταμοὺς αὐτῶν, καὶ ἐπὶ τὰς διώρυγας αὐτῶν, καὶ ἐπὶ τὰ ἕλη αὐτῶν, καὶ ἐπὶ πᾶν συνεστηκὸς ὕδωρ αὐτῶν, καὶ ἔσται αἷμα· καὶ ἐγένετο αἷμα ἐν πάσῃ γῇ Αἰγύπτου, ἔν τε τοῖς ξύλοις καὶ ἐν τοῖς λίθοις.
2056	ΕΞΟΔΟΣ 9:14	εἴδῇς	ὅτι	Yes	2	pos 1: ACUTE on ι; pos 3: CIRCUMFLEX on η	\vs{14}Ἐν τῷ γὰρ νῦν καιρῷ ἐγὼ ἐξαποστέλλω πάντα τὰ συναντήματά μου εἰς τὴν καρδίαν σου, καὶ τῶν θεραπόντων σου, καὶ τοῦ λαοῦ σου, ἵνα εἴδῇς ὅτι οὐκ ἔστιν, ὡς ἐγὼ, ἄλλος ἐν πάσῃ τῇ γῇ.
2083	ΕΞΟΔΟΣ 10:3	ἔξαπόστειλον	τὸν	Yes	2	pos 0: ACUTE on ε; pos 4: ACUTE on ο	\vs{3}Εἰσῆλθε δὲ Μωυσῆς καὶ Ἀαρὼν ἐναντίον Φαραὼ, καὶ εἶπαν αὐτῷ, τάδε λέγει Κύριος ὁ Θεὸς τῶν Ἐβραίων, ἕως τίνος οὐ βούλει ἐντραπῆναί με; ἔξαπόστειλον τὸν λαόν μου, ἵνα λατρεύσωσί μοι.
2157	ΕΞΟΔΟΣ 12:30	ἔγενήθη	κραυγὴ	Yes	2	pos 0: ACUTE on ε; pos 4: ACUTE on η	\vs{30}Καὶ ἀναστὰς Φαραὼ νυκτὸς, καὶ οἱ θεράποντες αὐτοῦ, καὶ πάντες οἱ Αἰγύπτιοι, καὶ ἔγενήθη κραυγὴ μεγάλη ἐν πάσῃ γῇ Αἰγύπτῳ· οὐ γὰρ ἦν οἰκία, ἐν ᾗ οὐκ ἦν ἐν αὐτῇ τεθνηκώς.
2353	ΕΞΟΔΟΣ 18:20	διαμαρτύρῇ	αὐτοῖς	Yes	2	pos 7: ACUTE on υ; pos 9: CIRCUMFLEX on η	\vs{20}Καὶ διαμαρτύρῇ αὐτοῖς τὰ προστάγματα τοῦ Θεοῦ καὶ τὸν νόμον αὐτοῦ, καὶ σημανεῖς αὐτοῖς τὰς ὁδοὺς ἐν αἷς πορεύσονται ἐν αὐταῖς, καὶ τὰ ἔργα ἃ ποιήσουσι.
2623	ΕΞΟΔΟΣ 26:24	ποιήσεῖς	ἀμφοτέραις	Yes	2	pos 3: ACUTE on η; pos 6: CIRCUMFLEX on ι	\vs{24}Καὶ ἔσται ἐξ ἴσου κάτωθεν· κατὰ τὸ αὐτὸ ἔσονται ἴσοι ἐκ τῶν κεφαλῶν εἰς σύμβλησιν μίαν· οὕτω ποιήσεῖς ἀμφοτέραις ταῖς δυσὶ γωνίαις· ἴσαι ἔστωσαν.
2689	ΕΞΟΔΟΣ 28:30	ἔναντὶ	Κυρίου	Yes	2	pos 0: ACUTE on ε; pos 5: GRAVE on ι	\vs{30}Καὶ ἐπιθήσεις ἐπὶ τὸ λογεῖον τῆς κρίσεως τὴν δήλωσιν καὶ τὴν ἀλήθειαν· καὶ ἔσται ἐπὶ τοῦ στήθους Ἀαρὼν, ὅταν εἰσπορεύεται εἰς τὸ ἅγιον ἔναντὶ Κυρίου· καὶ οἴσει Ἀαρὼν τὰς κρίσεις τῶν υἱῶν Ἰσραὴλ ἐπὶ τοῦ στήθους ἔναντι Κυρίου διαπαντός.
2880	ΕΞΟΔΟΣ 33:19	οἰκτείρῶ		N/A	2	pos 5: ACUTE on ι; pos 7: CIRCUMFLEX on ω	\vs{19}Καὶ εἶπεν, ἐγὼ παρελεύσομαι πρότερός σου τῇ δόξῃ μου, καὶ καλέσω τῷ ὀνόματί μου, Κύριος ἐναντίον σου· καὶ ἐλεήσω, ὃν ἂν ἐλεῶ, καὶ οἰκτειρήσω, ὃν ἂν οἰκτείρῶ.
2902	ΕΞΟΔΟΣ 34:15	ἔγκαθημένοις	ἐπὶ	Yes	2	pos 0: ACUTE on ε; pos 7: ACUTE on ε	\vs{15}Μή ποτε θῇς διαθήκην τοῖς ἔγκαθημένοις ἐπὶ τῆς γῆς, καὶ ἐκπορνεύσωσιν ὀπίσω τῶν θεῶν αὐτῶν, καὶ θύσωσι τοῖς θεοῖς αὐτῶν, καὶ καλέσωσίν σε, καὶ φάγῃς τῶν αὐτῶν,
3171	ΛΕΥΙΤΙΚΟΝ 3:9	Κυρίῷ	τὸ	Yes	2	pos 3: ACUTE on ι; pos 4: CIRCUMFLEX on ω	\vs{9}Καὶ προσοίσει ἀπὸ τῆς θυσίας τοῦ σωτηρίου κάρπωμα τῷ Κυρίῷ· τὸ στέαρ καὶ τὴν ὀσφὺν ἄμωμον σὺν ταῖς ψόαις περιελεῖ αὐτό· καὶ πᾶν τὸ στέαρ τὸ κατακαλύπτον τὴν κοιλίαν, καὶ πᾶν τὸ στέαρ τὸ ἐπὶ τῆς κοιλίας.
3196	ΛΕΥΙΤΙΚΟΝ 4:13	πλήμμελήσωσι		N/A	2	pos 2: ACUTE on η; pos 7: ACUTE on η	\vs{13}Ἐὰν δὲ πᾶσα συναγωγὴ Ἰσραὴλ ἀγνοήσῃ ἀκουσίως, καὶ λάθῃ ῥῆμα ἐξ ὀφθαλμῶν τῆς συναγωγῆς, καὶ ποιήσωσι μίαν ἀπὸ πασῶν τῶν ἐντολῶν Κυρίου, ἣ οὐ ποιηθήσεται, καὶ πλήμμελήσωσι,
3445	ΛΕΥΙΤΙΚΟΝ 11:28	ταῦτά	ἔστιν	Yes	2	pos 2: CIRCUMFLEX on υ; pos 4: ACUTE on α	\vs{28}Καὶ ὁ αἴρων τῶν θνησιμαίων αὐτῶν, πλυνεῖ τὰ ἱμάτια αὐτοῦ, καὶ ἀκάθαρτος ἔσται ἕως ἑσπέρας· ἀκάθαρτα ταῦτά ἔστιν ὑμῖν.
3797	ΛΕΥΙΤΙΚΟΝ 20:15	θανάτούσθω	καὶ	Yes	2	pos 3: ACUTE on α; pos 6: ACUTE on υ	\vs{15}Καὶ ὃς ἂν δῷ κοιτασίαν αὐτοῦ ἐν τετράποδι, θανάτῳ θανάτούσθω, καὶ τὸ τετράπουν ἀποκτενεῖτε.
3809	ΛΕΥΙΤΙΚΟΝ 20:26	ἅγιός	εἶμι	Yes	2	pos 0: ACUTE on α; pos 3: ACUTE on ο	\vs{26}Καὶ ἔσεσθέ μοι ἅγιοι, ὅτι ἐγὼ ἅγιός εἶμι Κύριος ὁ Θεὸς ὑμῶν, ὁ ἀφορίσας ὑμᾶς ἀπὸ πάντων τῶν ἐθνῶν, εἶναί μοι.
4151	ΑΡΙΘΜΟΙ 1:31	ἐπίσκέψις	αὐτῶν	Yes	2	pos 2: ACUTE on ι; pos 5: ACUTE on ε	\vs{31}ἡ ἐπίσκέψις αὐτῶν ἐκ τῆς φυλῆς Ἐφραὶμ, τεσσαράκοντα χιλιάδες καὶ πεντακόσιοι.
4508	ΑΡΙΘΜΟΙ 7:81	ὁλόκαύτωμα		N/A	2	pos 2: ACUTE on ο; pos 5: ACUTE on υ	\vs{81}Μόσχον ἕνα ἐκ βοῶν, κριὸν ἕνα, ἀμνὸν ἕνα ἐνιαύσιον εἰς ὁλόκαύτωμα,
4739	ΑΡΙΘΜΟΙ 14:14	τούτῷ	ὅστις	Yes	2	pos 2: ACUTE on υ; pos 4: CIRCUMFLEX on ω	\vs{14}Ἀλλὰ καὶ πάντες οἱ κατοικοῦντες ἐπὶ τῆς γῆς ταύτης ἀκηκόασιν, ὅτι σὺ εἶ Κύριος ἐν τῷ λαῷ τούτῷ, ὅστις ὀφθαλμοῖς κατʼ ὀφθαλμοὺς ὀπτάζῃ Κύριε, καὶ ἡ νεφέλη σου ἐφέστηκεν ἐπʼ αὐτῶν, καὶ ἐν στύλῳ νεφέλης σὺ πορεύῃ πρότερος αὐτῶν τὴν ἡμέραν, καὶ ἐν στύλῳ πυρὸς τὴν νύκτα.
5805	ΔΕΥΤΕΡΟΝΟΜΙΟΝ 3:17	Ἄραβά	θαλάσσης	Yes	2	pos 0: ACUTE on Α; pos 4: ACUTE on α	\vs{17}Καὶ ἡ Ἄραβα καὶ ὁ Ἰορδάνης ὅριον Μαχαναρὲθ, καὶ ἕως θαλάσσης Ἄραβά, θαλάσσης ἁλυκῆς ὑπὸ Ἀσηδὼθ τὴν Φασγὰ ἀνατολῶν.
5894	ΔΕΥΤΕΡΟΝΟΜΙΟΝ 5:9	πρόσκυνήσεις	αὐτοῖς	Yes	2	pos 2: ACUTE on ο; pos 7: ACUTE on η	\vs{9}Οὐ πρόσκυνήσεις αὐτοῖς, οὐδὲ μὴ λατρεύσῃς αὐτοῖς· ὅτι ἐγώ εἰμι Κύριος ὁ Θεός σου, Θεὸς ζηλωτὴς, ἀποδιδοὺς ἁμαρτίας πατέρων ἐπὶ τέκνα ἐπὶ τρίτην καὶ τετάρτην γενεὰν τοῖς μισοῦσί με,
5938	ΔΕΥΤΕΡΟΝΟΜΙΟΝ 6:13	φοβήθήσῃ	καὶ	Yes	2	pos 3: ACUTE on η; pos 5: ACUTE on η	\vs{13}Κύριον τὸν Θεόν σου φοβήθήσῃ, καὶ αὐτῷ μόνῳ λατρεύσεις, καὶ πρὸς αὐτὸν κολληθήσῃ, καὶ ἐπὶ τῷ ὀνόματι αὐτοῦ ὀμῇ.
5974	ΔΕΥΤΕΡΟΝΟΜΙΟΝ 7:16	τοῦτό	ἐστί	Yes	2	pos 2: CIRCUMFLEX on υ; pos 4: ACUTE on ο	\vs{16}Καὶ φαγῇ πάντα τὰ σκῦλα τῶν ἐθνῶν, ἃ Κύριος ὁ Θεός σου δίδωσί σοι· οὐ φείσεται ὁ ὀφθαλμός σου ἐπʼ αὐτοῖς, καὶ οὐ μὴ λατρεύσῃς τοῖς θεοῖς αὐτῶν· ὅτι σκῶλον τοῦτό ἐστί σοί.
6055	ΔΕΥΤΕΡΟΝΟΜΙΟΝ 10:6	Ἐλεάζὰρ	υἱὸς	Yes	2	pos 3: ACUTE on α; pos 5: GRAVE on α	\vs{6}Καὶ οἱ υἱοὶ Ἰσραὴλ ἀπῇραν ἐκ Βηρὼθ υἱῶν Ἰακεὶμ Μισαδαΐ· ἐκεῖ ἀπέθανεν Ἀαρὼν, καὶ ἐτάφη ἐκεῖ, καὶ ἱεράτευσεν Ἐλεάζὰρ υἱὸς αὐτοῦ ἀντʼ αὐτοῦ.
6488	ΔΕΥΤΕΡΟΝΟΜΙΟΝ 24:11	δάνειόν	σού	Yes	2	pos 1: ACUTE on α; pos 5: ACUTE on ο	\vs{11}Ἔξω στήσῃ, καὶ ὁ ἄνθρωπος οὗ τὸ δάνειόν σού ἐστιν ἐν αὐτῷ, ἐξοίσει σοι τὸ ἐνέχυρον ἔξω.
6712	ΔΕΥΤΕΡΟΝΟΜΙΟΝ 30:9	εὐφρανθῆναὶ	ἐπὶ	Yes	2	pos 7: CIRCUMFLEX on η; pos 10: GRAVE on ι	\vs{9}Καὶ εὐλογήσει σε Κύριος ὁ Θεός σου ἐν παντὶ ἔργῳ τῶν χειρῶν σου, ἐν τοῖς ἐκγόνοις τῆς κοιλίας σου, καὶ ἐν τοῖς ἐκγόνοις τῶν κτηνῶν σου, καὶ ἐν τοῖς γεννήμασι τῆς γῆς σου, ὅτι ἐπιστρέψει Κύριος ὁ Θεός σου εὐφρανθῆναὶ ἐπὶ σοὶ εἰς ἀγαθὰ, καθότι εὐφράνθη ἐπὶ τοῖς πατράσι σου·
6903	ΙΗΣΟΥΣ ΝΑΥΗ 1:17	ἀκουσόμεθά	σοῦ	Yes	2	pos 5: ACUTE on ο; pos 9: ACUTE on α	\vs{17}Κατὰ πάντα ὅσα ἠκούσαμεν Μωυσῆ, ἀκουσόμεθά σοῦ· πλὴν ἔστω Κύριος ὁ Θεὸς ἡμῶν μετὰ σοῦ, ὃν τρόπον ἦν μετὰ Μωυσῆ.
7067	ΙΗΣΟΥΣ ΝΑΥΗ 7:18	Ζάρά		N/A	2	pos 1: ACUTE on α; pos 3: ACUTE on α	\vs{18}καὶ ἐνεδείχθη Ἄχαρ υἱὸς Ζαμβρὶ υἱοῦ Ζάρά.
7342	ΙΗΣΟΥΣ ΝΑΥΗ 15:7	διεκβάλλεῖ	ἐπὶ	Yes	2	pos 5: ACUTE on α; pos 9: CIRCUMFLEX on ι	\vs{7}Καὶ προσαναβαίνει τὰ ὅρια ἐπὶ τὸ τέταρτον τῆς φάραγγος Ἀχὼρ, καὶ καταβαίνει ἐπὶ Γαλγὰλ, ἥ ἐστιν ἀπέναντι τῆς προσβάσεως Ἀδαμμὶν, ἥ ἐστι κατὰ Λίβα τῇ φάραγγι, καὶ διεκβάλλεῖ ἐπὶ τὸ ὕδωρ τῆς πηγῆς τοῦ ἡλίου· καὶ ἔσται αὐτοῦ ἡ διέξοδος πηγὴ Ῥωγήλ·
7355	ΙΗΣΟΥΣ ΝΑΥΗ 15:18	ἐκπορεύέσθαι	αὐτὴν	Yes	2	pos 6: ACUTE on υ; pos 7: ACUTE on ε	\vs{18}Καὶ ἐγένετο ἐν τῷ ἐκπορεύέσθαι αὐτὴν καὶ συνέβουλεύσατο αὐτῷ, λέγουσα, αἰτήσομαι τὸν πατέρα μου ἀγρόν· καὶ ἐβόησεν ἐκ τοῦ ὄνου· καὶ εἶπεν αὐτῇ Χάλεβ, τί ἐστί σοι;
7355	ΙΗΣΟΥΣ ΝΑΥΗ 15:18	συνέβουλεύσατο	αὐτῷ	Yes	2	pos 3: ACUTE on ε; pos 9: ACUTE on υ	\vs{18}Καὶ ἐγένετο ἐν τῷ ἐκπορεύέσθαι αὐτὴν καὶ συνέβουλεύσατο αὐτῷ, λέγουσα, αἰτήσομαι τὸν πατέρα μου ἀγρόν· καὶ ἐβόησεν ἐκ τοῦ ὄνου· καὶ εἶπεν αὐτῇ Χάλεβ, τί ἐστί σοι;
7414	ΙΗΣΟΥΣ ΝΑΥΗ 16:6	Ἰανῶκὰ		N/A	2	pos 3: CIRCUMFLEX on ω; pos 5: GRAVE on α	\vs{6}Καὶ ἐλεύσεται τὰ ὅρια ἐπὶ τὴν θάλασσαν εἰς Ἰκασμὼν ἀπὸ Βοῤῥᾶ Θερμᾶ· περιελεύσεται ἐπʼ ἀνατολὰς εἰς Θηνασὰ, καὶ Σέλλης, καὶ παρελεύσεται ἀπʼ ἀνατολῶν εἰς Ἰανῶκὰ,
7419	ΙΗΣΟΥΣ ΝΑΥΗ 16:10	Γάζέρ	καὶ	Yes	2	pos 1: ACUTE on α; pos 3: ACUTE on ε	\vs{10}Καὶ οὐκ ἀπώλεσεν Ἐφραῒμ τὸν Χαναναῖον τὸν κατοικοῦντα ἐν Γάζέρ· καὶ κατῴκει ὁ Χαναναῖος ἐν τῷ Ἐφραῒμ ἕως τῆς ἡμέρας ταυτης, ἕως ἀνέβη Φαραὼ βασιλεὺς Αἰγύπτου, καὶ ἔλαβεν αὐτὴν, καὶ ἐνέπρησεν αὐτὴν ἐν πυρί· καὶ τοὺς Χαναναίους, καὶ τοὺς Φερεζαίους, καὶ τοὺς κατοικοῦντας ἐν Γαζὲρ, ἐξεκέντησαν· καὶ ἔδωκεν αὐτὴν Φαραὼ ἐν φερνῇ τῇ θυγατρὶ αὐτοῦ.
7462	ΙΗΣΟΥΣ ΝΑΥΗ 18:13	Λοῦζὰ	ἐπὶ	Yes	2	pos 2: CIRCUMFLEX on υ; pos 4: GRAVE on α	\vs{13}Καὶ διελεύσεται ἐκεῖθεν τὰ ὅρια Λοῦζὰ ἐπὶ νώτου Λουζὰ ἀπὸ Λιβὸς αὐτῆς· αὕτη ἐστὶ Βαιθήλ· καὶ καταβήσεται τὰ ὅρια Μααταρὼβ Ὀρὲχ ἐπὶ τὴν ὀρεινὴν, ἥ ἐστι πρὸς Λίβα Βαιθωρὼν ἡ κάτω.
7753	ΚΡΙΤΑΙ 1:10	ἐπάτάξαν	τὸν	Yes	2	pos 2: ACUTE on α; pos 4: ACUTE on α	\vs{10}Καὶ ἐπορεύθη Ἰούδας πρὸς τὸν Χαναναῖον τὸν κατοικοῦντα ἐν Χεβρών· καὶ ἐξῆλθε Χεβρὼν ἐξ ἐναντίας· καὶ τὸ ὄνομα ἦν Χεβρὼν τὸ πρότερον Καριαθαρβοκσεφέρ· καὶ ἐπάτάξαν τὸν Σεσσὶ καὶ Ἀχιμὰν καὶ Θολμὶ γεννήματα τοῦ Ἐνάκ.
7891	ΚΡΙΤΑΙ 4:21	κρύφῇ	καὶ	Yes	2	pos 2: ACUTE on υ; pos 4: CIRCUMFLEX on η	\vs{21}Καὶ ἔλαβεν Ἰαὴλ γυνὴ Χαβὲρ τὸν πάσσαλον τῆς σκηνῆς, καὶ ἔθηκε τὴν σφύραν ἐν τῇ χειρὶ αὐτῆς, καὶ εἰσῆλθε πρὸς αὐτὸν ἐν κρύφῇ, καὶ ἔπηξε τὸν πάσσαλον ἐν τῷ κροτάφῳ αὐτοῦ, καὶ διεξῆλθεν ἐν τῇ γῇ· καὶ αὐτὸς ἐξεστῶς ἐσκοτώθη, καὶ ἀπέθανε.
7969	ΚΡΙΤΑΙ 6:26	ἄλσοῦς	οὗ	Yes	2	pos 0: ACUTE on α; pos 4: CIRCUMFLEX on υ	\vs{26}Καὶ οἰκοδομήσεις θυσιαστήριον τῷ Κυρίῳ τῷ Θεῷ σου ἐπὶ κορυφὴν Μαωζὶ τούτου ἐν τῇ παρατάξει καὶ λήψῃ τὸν μόσχον τὸν δεύτερον, καὶ ἀνοίσεις ὁλοκαυτώματα ἐν τοῖς ξύλοις τοῦ ἄλσοῦς, οὗ ἐξολοθρεύσεις.
8023	ΚΡΙΤΑΙ 8:2	κρείττῶν	ἐπιφυλλὶς	Yes	2	pos 3: ACUTE on ι; pos 6: CIRCUMFLEX on ω	\vs{2}Καὶ εἶπε πρὸς αὐτοὺς, τί ἐποίησα νῦν καθὼς ὑμεῖς; ἢ οὐχὶ κρείττῶν ἐπιφυλλὶς Ἐφραὶμ ἢ τρυγητὸς Ἀβιέζερ;
8436	ΚΡΙΤΑΙ 19:9	γάμβρὸς	αὐτοῦ	Yes	2	pos 1: ACUTE on α; pos 5: GRAVE on ο	\vs{9}Καὶ ἀνέστη ὁ ἀνὴρ τοῦ πορευθῆναι αὐτὸς, καὶ ἡ παλλακὴ αὐτοῦ, καὶ ὁ νεανίας αὐτοῦ· καὶ εἶπεν αὐτῷ ὁ γάμβρὸς αὐτοῦ ὁ πατὴρ τῆς νεάνιδος, ἰδοὺ δὴ ἠσθένησεν ἡμέρα εἰς τὴν ἑσπέραν· αὐλίσθητι ὧδε, καὶ ἀγαθυνθήσεται ἡ καρδία σου, καὶ ὀρθριεῖτε αὔριον εἰς ὁδὸν ὑμῶν, καὶ πορεύσῃ εἰς τὸ σκήνωμά σου.
8523	ΚΡΙΤΑΙ 20:45	Ῥέμμών	καὶ	Yes	2	pos 1: ACUTE on ε; pos 4: ACUTE on ω	\vs{45}Καὶ ἐπέβλεψαν οἱ λοιποὶ, καὶ ἔφευγον εἰς τὴν ἔρημον πρὸς τὴν πέτραν τοῦ Ῥέμμών· καὶ ἐκαλαμήσαντο ἐξ αὐτῶν οἱ υἱοὶ Ἰσραὴλ πεντακισχιλίους ἄνδρας· καὶ κατέβησαν ὀπίσω αὐτῶν οἱ υἱοὶ Ἰσραὴλ ἕως Γεδᾶν, καὶ ἐπάταξαν ἐξ αὐτῶν δισχιλίους ἄνδρας.
8864	ΒΑΣΙΛΕΙΩΝ Α 6:14	Ὠσῆὲ	τὸν	Yes	2	pos 2: CIRCUMFLEX on η; pos 3: GRAVE on ε	\vs{14}Καὶ ἡ ἅμαξα εἰσῆλθεν εἰς ἀγρὸν Ὠσῆὲ τὸν ἐν Βαιθσαμὺς, καὶ ἔστησαν ἐκεῖ παρʼ αὐτῇ λίθον μέγαν· καὶ σχίζουσι τὰ ξύλα τῆς ἁμάξης, καὶ τὰς βόας ἀνήνεγκαν εἰς ὁλοκαύτωσιν τῷ κυρίῳ.
9102	ΒΑΣΙΛΕΙΩΝ Α 14:13	Ἰωνάθὰν	ἐπὶ	Yes	2	pos 3: ACUTE on α; pos 5: GRAVE on α	\vs{13}Καὶ ἀνέβη Ἰωνάθὰν ἐπὶ τὰς χεῖρας αὐτοῦ καὶ ἐπὶ τοὺς πόδας αὐτοῦ, καὶ ὁ αἴρων τὰ σκεύη αὐτοῦ μετʼ αὐτοῦ· καὶ ἐπέβλεψαν κατὰ πρόσωπον Ἰωνάθαν, καὶ ἐπάταξεν αὐτούς, καὶ ὁ αἴρων τὰ σκεύη αὐτοῦ ἐπεδίδου ὀπίσω αὐτοῦ.
9366	ΒΑΣΙΛΕΙΩΝ Α 20:32	ἵνατί	ἀποθνήσκει	Yes	2	pos 0: ACUTE on ι; pos 4: ACUTE on ι	\vs{32}Καὶ ἀπεκρίθη Ἰωνάθαν τῷ Σαοὺλ, ἵνατί ἀποθνήσκει; τί πεποίηκε;
9404	ΒΑΣΙΛΕΙΩΝ Α 22:2	ἀνάγκῇ	καὶ	Yes	2	pos 2: ACUTE on α; pos 5: CIRCUMFLEX on η	\vs{2}Καὶ συνήγοντο πρὸς αὐτὸν πᾶς ἐν ἀνάγκῇ, καὶ πᾶς ὑπόχρεως, καὶ πᾶς κατώδυνος ψυχῇ, καὶ ἦν ἐπʼ αὐτῶν ἡγούμενος, καὶ ἦσαν μετʼ αὐτοῦ ὡς τετρακόσιοι ἄνδρες.
9696	ΒΑΣΙΛΕΙΩΝ Α 31:1	ἀλλόφύλοι	ἐπολέμουν	Yes	2	pos 3: ACUTE on ο; pos 5: ACUTE on υ	Καὶ οἱ ἀλλόφύλοι ἐπολέμουν ἐπὶ Ἰσραήλ· καὶ ἔφυγον οἱ ἄνδρες Ἰσραὴλ ἐκ προσώπου τῶν ἀλλοφύλων, καὶ πίπτουσι τραυματίαι ἐν τῷ ὄρει τῷ Γελβουέ.
10026	ΒΑΣΙΛΕΙΩΝ Β 10:15	ἔπτάισεν	ἔμπροσθεν	Yes	2	pos 0: ACUTE on ε; pos 3: ACUTE on α	\vs{15}Καὶ εἶδε Συρία ὅτι ἔπτάισεν ἔμπροσθεν Ἰσραὴλ, καὶ συνήχθησαν ἐπὶ τὸ αὐτό.
